C;epsilon;gamma;sv_count;MAE;omega;;;;;C;epsilon;gamma;sv_count;MAE;omega
0,1;0,07;0,1;140;0,161820562;0,5;;;;;;;;;;
0,1;0,07;0,7;115;0,055440479;0,5;;;;;0,022835607;;;;;
0,1;0,07;1;106;0,041923851;0,5;;;;;;;;;;
0,1;0,07;1,5;105;0,039974202;0,5;;;;;5;0,142;0,7;31;0,022835607;0,5
0,1;0,07;3;104;0,038883157;0,5;;;;;;;;;;
0,1;0,07;10;110;0,037603873;0,5;;;;;;;;;;
0,1;0,106;0,1;111;0,161016691;0,5;;;;;;;;;;
0,1;0,106;0,7;77;0,06265393;0,5;;;;;;;;;;
0,1;0,106;1;68;0,048156963;0,5;;;;;;;;;;
0,1;0,106;1,5;65;0,041713885;0,5;;;;;;;;;;
0,1;0,106;3;66;0,039920503;0,5;;;;;;;;;;
0,1;0,106;10;74;0,044792342;0,5;;;;;;;;;;
0,1;0,142;0,1;91;0,161407471;0,5;;;;;;;;;;
0,1;0,142;0,7;54;0,071699056;0,5;;;;;;;;;;
0,1;0,142;1;46;0,055270214;0,5;;;;;;;;;;
0,1;0,142;1,5;42;0,047359295;0,5;;;;;;;;;;
0,1;0,142;3;42;0,046150185;0,5;;;;;;;;;;
0,1;0,142;10;49;0,052460842;0,5;;;;;;;;;;
0,1;0,178;0,1;73;0,163352444;0,5;;;;;;;;;;
0,1;0,178;0,7;40;0,081891352;0,5;;;;;;;;;;
0,1;0,178;1;34;0,069560646;0,5;;;;;;;;;;
0,1;0,178;1,5;29;0,066889359;0,5;;;;;;;;;;
0,1;0,178;3;26;0,064975352;0,5;;;;;;;;;;
0,1;0,178;10;39;0,067813484;0,5;;;;;;;;;;
0,1;0,214;0,1;59;0,168482602;0,5;;;;;;;;;;
0,1;0,214;0,7;32;0,097214788;0,5;;;;;;;;;;
0,1;0,214;1;25;0,089518021;0,5;;;;;;;;;;
0,1;0,214;1,5;18;0,084675412;0,5;;;;;;;;;;
0,1;0,214;3;21;0,081481828;0,5;;;;;;;;;;
0,1;0,214;10;34;0,092627717;0,5;;;;;;;;;;
0,1;0,25;0,1;52;0,167212697;0,5;;;;;;;;;;
0,1;0,25;0,7;21;0,11142802;0,5;;;;;;;;;;
0,1;0,25;1;17;0,104785274;0,5;;;;;;;;;;
0,1;0,25;1,5;17;0,098429816;0,5;;;;;;;;;;
0,1;0,25;3;18;0,101585578;0,5;;;;;;;;;;
