C,epsilon,gamma,sv_count,MAE,omega
0.1,0.07,0.1,139,0.16166136257773558,1.5
0.1,0.07,0.7,116,0.055448492083667845,1.5
0.1,0.07,1.0,106,0.04192826020752444,1.5
0.1,0.07,1.5,104,0.03980875733745158,1.5
0.1,0.07,3.0,101,0.03859864122794545,1.5
0.1,0.07,10.0,111,0.037812712049550265,1.5
0.1,0.10600000000000001,0.1,112,0.16096969038641543,1.5
0.1,0.10600000000000001,0.7,77,0.06293356763813601,1.5
0.1,0.10600000000000001,1.0,67,0.0481249832593396,1.5
0.1,0.10600000000000001,1.5,64,0.04146250625258047,1.5
0.1,0.10600000000000001,3.0,66,0.03965387781510877,1.5
0.1,0.10600000000000001,10.0,74,0.044981802765247866,1.5
0.1,0.14200000000000002,0.1,90,0.16129267934761893,1.5
0.1,0.14200000000000002,0.7,55,0.07138205009204796,1.5
0.1,0.14200000000000002,1.0,44,0.05510824339066648,1.5
0.1,0.14200000000000002,1.5,40,0.047124641639054506,1.5
0.1,0.14200000000000002,3.0,41,0.046349688348221355,1.5
0.1,0.14200000000000002,10.0,50,0.052442283195376894,1.5
0.1,0.178,0.1,70,0.16343535066116874,1.5
0.1,0.178,0.7,39,0.08176773211102865,1.5
0.1,0.178,1.0,32,0.06980364006093481,1.5
0.1,0.178,1.5,27,0.06683472943911996,1.5
0.1,0.178,3.0,26,0.06477548777224838,1.5
0.1,0.178,10.0,37,0.06792079050762924,1.5
0.1,0.214,0.1,59,0.16832125959309757,1.5
0.1,0.214,0.7,32,0.0964382382423432,1.5
0.1,0.214,1.0,25,0.08920696688160225,1.5
0.1,0.214,1.5,18,0.08437086967622465,1.5
0.1,0.214,3.0,21,0.0816415911006095,1.5
0.1,0.214,10.0,31,0.09322458378956075,1.5
0.1,0.25,0.1,51,0.1673637841089414,1.5
0.1,0.25,0.7,21,0.1109500660849202,1.5
0.1,0.25,1.0,17,0.1046937826669988,1.5
0.1,0.25,1.5,17,0.09838708100576371,1.5
0.1,0.25,3.0,18,0.10136246842514733,1.5
0.1,0.25,10.0,28,0.11975812570672581,1.5
1.0,0.07,0.1,149,0.15457756887557567,1.5
1.0,0.07,0.7,92,0.0291457322263212,1.5
1.0,0.07,1.0,95,0.026916841651318916,1.5
1.0,0.07,1.5,98,0.02742105249680731,1.5
1.0,0.07,3.0,100,0.0307512124284429,1.5
1.0,0.07,10.0,112,0.03604370500138355,1.5
1.0,0.10600000000000001,0.1,116,0.15363990909402758,1.5
1.0,0.10600000000000001,0.7,54,0.03004142461548896,1.5
1.0,0.10600000000000001,1.0,56,0.02771266047220923,1.5
1.0,0.10600000000000001,1.5,56,0.02776916769336492,1.5
1.0,0.10600000000000001,3.0,59,0.026601343752676563,1.5
1.0,0.10600000000000001,10.0,65,0.03636041914915165,1.5
1.0,0.14200000000000002,0.1,97,0.1531376706942013,1.5
1.0,0.14200000000000002,0.7,30,0.029388517775785397,1.5
1.0,0.14200000000000002,1.0,31,0.028644706202789826,1.5
1.0,0.14200000000000002,1.5,32,0.026974552977041474,1.5
1.0,0.14200000000000002,3.0,38,0.03496266249465962,1.5
1.0,0.14200000000000002,10.0,32,0.03689295773046674,1.5
1.0,0.178,0.1,77,0.15780089989414375,1.5
1.0,0.178,0.7,18,0.04305526015164716,1.5
1.0,0.178,1.0,20,0.04218894852578796,1.5
1.0,0.178,1.5,19,0.04198548287841859,1.5
1.0,0.178,3.0,23,0.047524877792983894,1.5
1.0,0.178,10.0,25,0.05110953753490584,1.5
1.0,0.214,0.1,70,0.16482217343161218,1.5
1.0,0.214,0.7,12,0.06336900367828273,1.5
1.0,0.214,1.0,12,0.06009460634668645,1.5
1.0,0.214,1.5,9,0.062176835188298994,1.5
1.0,0.214,3.0,10,0.056810178465187045,1.5
1.0,0.214,10.0,17,0.07276701456432512,1.5
1.0,0.25,0.1,56,0.1663656524514922,1.5
1.0,0.25,0.7,8,0.07543521285885417,1.5
1.0,0.25,1.0,8,0.07627255587285175,1.5
1.0,0.25,1.5,6,0.07655096784590365,1.5
1.0,0.25,3.0,9,0.07646886530614974,1.5
1.0,0.25,10.0,16,0.0972438552781712,1.5
2.0,0.07,0.1,151,0.15365365143330587,1.5
2.0,0.07,0.7,94,0.02875689819916798,1.5
2.0,0.07,1.0,94,0.02717355767691402,1.5
2.0,0.07,1.5,98,0.027444205056981467,1.5
2.0,0.07,3.0,99,0.031171991864034476,1.5
2.0,0.07,10.0,113,0.03740491322691079,1.5
2.0,0.10600000000000001,0.1,118,0.1521625288833062,1.5
2.0,0.10600000000000001,0.7,55,0.02672630428004857,1.5
2.0,0.10600000000000001,1.0,55,0.026367373502837355,1.5
2.0,0.10600000000000001,1.5,59,0.026237270937996576,1.5
2.0,0.10600000000000001,3.0,60,0.02783174521622091,1.5
2.0,0.10600000000000001,10.0,69,0.037870649443789,1.5
2.0,0.14200000000000002,0.1,96,0.15096713617878005,1.5
2.0,0.14200000000000002,0.7,31,0.026421556848050386,1.5
2.0,0.14200000000000002,1.0,31,0.022936785111396064,1.5
2.0,0.14200000000000002,1.5,35,0.026715753400727352,1.5
2.0,0.14200000000000002,3.0,38,0.03886314403214015,1.5
2.0,0.14200000000000002,10.0,33,0.03952100672152863,1.5
2.0,0.178,0.1,82,0.154745591192623,1.5
2.0,0.178,0.7,18,0.03952850226394756,1.5
2.0,0.178,1.0,18,0.03930409678640417,1.5
2.0,0.178,1.5,18,0.04098638484704619,1.5
2.0,0.178,3.0,21,0.04625447221621793,1.5
2.0,0.178,10.0,26,0.05114085158195042,1.5
2.0,0.214,0.1,65,0.16409670667536183,1.5
2.0,0.214,0.7,13,0.062123385317002386,1.5
2.0,0.214,1.0,12,0.05998327877310275,1.5
2.0,0.214,1.5,9,0.062196684144769115,1.5
2.0,0.214,3.0,10,0.05680213654317142,1.5
2.0,0.214,10.0,17,0.07277390878592918,1.5
2.0,0.25,0.1,57,0.16862585433879168,1.5
2.0,0.25,0.7,8,0.07439936981845546,1.5
2.0,0.25,1.0,8,0.0761259049912244,1.5
2.0,0.25,1.5,6,0.07655096784590365,1.5
